"Variable / Field Name","Form Name","Section Header","Field Type","Field Label","Choices, Calculations, OR Slider Labels","Field Note","Text Validation Type OR Show Slider Number","Text Validation Min","Text Validation Max",Identifier?,"Branching Logic (Show field only if...)","Required Field?","Custom Alignment","Question Number (surveys only)","Matrix Group Name","Matrix Ranking?","Field Annotation"
record_id,online_screening_consent_form,,text,"Record ID",,,,,,,,,,,,,
explanation,online_screening_consent_form,,descriptive,"<div class=""rich-text-field-label""><h2>Welcome!</h2> <hr /> <p>Many thanks for your interest in our study ""Light exposure in daily life""! </p> <p><span style=""font-weight: normal;"">Before we invite you to our facility at the Georg-Brauchle-Ring, we would like to </span>make sure that you are eligible for this study<span style=""font-weight: normal;"">. Below, </span>you will fill out some questionnaires about yourself and your health<span style=""font-weight: normal;"">. In this screening we will also collect sensitive data according to the data protection law (Art.9 DS-26 GVO), especially health data. In addition, we will ask you for your e-mail address so that we can contact you.</span></p> <hr /> <h3>What is the study about?</h3> <p><span style=""font-weight: normal;"">This study aims to </span>describe the amount and type of light that individuals are exposed to in their daily life<span style=""font-weight: normal;""> using a</span> light logging sensor. <span style=""font-weight: normal;"">We are interested in</span> <span style=""font-weight: normal;"">whether </span><span style=""font-weight: normal;"">light exposure is associated with </span>health-related variables, such as sleep, wellbeing, alertness, and light sensitivity<span style=""font-weight: normal;"">. The total duration of the study is</span> 1 week (from Monday to Monday)<span style=""font-weight: normal;"">. Participation in the study involves the following steps:</span></p> <ol> <li><span style=""font-weight: normal;"">This short </span>screening questionnaire, <span style=""font-weight: normal;"">which contains demographic and health questions. After finishing this questionnaire and if you are eligible, we will contact you to take part in this study via the e-mail address that we will ask you to provide. Together, we will agree on a date to start the experiment.<br /><br /></span></li> <li>On the Monday of the experimental week, <span style=""font-weight: normal;"">you will come to our laboratory at Georg-Brauchle-Ring in the afternoon. Here, you will fill in </span>two questionnaires<span style=""font-weight: normal;""> about your </span>chronotype <span style=""font-weight: normal;"">and we will give you </span>the light logging sensor. <span style=""font-weight: normal;"">This consists of a small light sensor placed on the frame of a pair of black, non-prescription glasses (variable sizes are available). Furthermore, we will give you a</span> light logger with a wristband and a necklace band<span style=""font-weight: normal;"">.<br /><br /></span></li> <li>During the experimental week, <span style=""font-weight: normal;"">you will</span> wear all devices continuously<span style=""font-weight: normal;""> and only take them off during showering or contact sports. During sleep, we will ask you to place the light logger somewhere in your room (e.g. bedside table). Furthermore, during the week, you will</span> complete daily sleep, wellbeing, exercise, and light exposure diaries directly on your phone <span style=""font-weight: normal;"">through an </span>app.<br /><br /></li> <li>At the end of the week (i.e. the following Monday), <span style=""font-weight: normal;"">you will come back to the lab in the morning and we will ask you to</span> complete questionnaires about your light exposure and light sensitivity<span style=""font-weight: normal;"">. We will also ask you about </span>your experiences with wearing our light logging device<span style=""font-weight: normal;"">. </span></li> </ol> <hr /> <h3>Will I get reimbursed?</h3> <p>You will receive compensation for participating in this study.<span style=""font-weight: normal;""> For</span> each day<span style=""font-weight: normal;""> of wearing the light logger devices, </span>you will receive €10<span style=""font-weight: normal;"">. Please note that this daily compensation will</span> only<span style=""font-weight: normal;""> be applied </span>if you<span style=""font-weight: normal;""> </span>wear the devices more than 80% of your awake time per day. <span style=""font-weight: normal;"">This means that, if you comply with this criterion, we will give you </span>a total of €80 on the final day of the study.</p> <hr /> <h3>What happens with my data?</h3> <p><span style=""font-weight: normal;"">Sensitive data about you and your health will be collected in this study. This data will be treated confidentially. The legal basis for this is your declaration of consent (Art. 6 para. 1 lit. a, Art. 9 para 2 lit. a. DSGVO). The Max Planck Institute for Biological Cybernetics is responsible for data processing. All data that can identify your person are pseudonymized by an identification code. The data is stored at the Max Planck Institute for Biological Cybernetics and at the Technical University of Munich.</span><br /><br /><span style=""font-weight: normal;"">Before starting the online questionnaire, we ask for your consent:</span><br /><br /><span style=""font-weight: normal;"">1. I voluntarily agree to participate in the online survey for the study ""Light exposure in daily life"".</span><br /><br /><span style=""font-weight: normal;"">2. I know that my consent is voluntary and that I can withdraw it at any time without negative consequences for myself.</span><br /><br /><span style=""font-weight: normal;"">3. I agree with the collection, the processing and the analysis of my data by the Max Planck Institute for Biological Cybernetics and the Technical University Munich.</span><br /><br /><span style=""font-weight: normal;"">4. Data may be collected by the Max Planck Institute for Biological Cybernetics and the Technical University of Munich as part of scientific research to determine eligibility for further participation in the study.</span></p> <hr /> <h3>Any more questions?</h3> <p><span style=""font-weight: normal;"">The full description of the study can be found in the document attached here. For any other doubts or questions, feel free to contact Suyoun</span><span style=""color: #000000;""> <a style=""color: #000000;"" href=""mailto:ge42sof@mytum.de"" target=""_blank"" rel=""noopener"">(Suyoun.lee@tum.de)</a></span><span style=""font-weight: normal;""><span style=""color: #000000;""> and Sarina <strong><a style=""color: #000000;"" href=""mailto:ge42god@mytum.de"" target=""_blank"" rel=""noopener"">(Sarina.hilden@tum.de)</a></strong></span></span></p> <p> </p> <p><a style=""text-decoration: underline;"" href=""https://tuspl22-redcap.srv.mwn.de/redcap/surveys/?__file=4XgmJwrizJiTMSyurJegxf69uovfdVJEMiRn4NDSVEo6ZvDWfQhpIPDnf3Dwze9upmMuDfIyWyTD9VyAoioRi5UfxbpqWmsXyz35&download=1"">Tum Light Loger_Consent Form.pdf</a></p></div>",,,,,,,,,,,,,
consent,online_screening_consent_form,,radio,"I have taken note of the study information and I consider to take part in this study.","0, Yes, I would like to continue with the questionnaire | 1, No, I do not want to participate",,,,,,,y,,,,,
email,your_demographics,,text,"<div class=""rich-text-field-label""><p>E-mail<br /><br /></p> <p><em><span style=""font-weight: normal;"">We need this so that we can contact you with further details about participation in the study. Please provide an e-mail address that you regularly check.</span></em></p></div>",,,,,,,,y,,,,,
email_2,your_demographics,,text,"Please confirm your e-mail ",,,,,,,,y,,,,,
age,your_demographics,,text,"Current age in years",,,integer,,,y,,y,,,,,
sex,your_demographics,,radio,"Sex assigned at birth","1, Female | 2, Male | 3, Intersex | 0, Prefer not to say",,,,,,,y,,,,,
gender,your_demographics,,radio,"Gender identity","1, Woman | 2, Man | 3, Non-binary | 4, Other | 0, Prefer not to say",,,,,,,y,,,,,
native_language,your_demographics,,yesno,"Is English your native language?",,,,,,,,y,,,,,
language_specification,your_demographics,,radio,"If your native language is not English, please specify your English language proficiency","3, Advanced | 2, Intermediate | 1, Basic",,,,,,"[native_language] = '0'",y,,,,,
