"Variable / Field Name","Form Name","Section Header","Field Type","Field Label","Choices, Calculations, OR Slider Labels","Field Note","Text Validation Type OR Show Slider Number","Text Validation Min","Text Validation Max",Identifier?,"Branching Logic (Show field only if...)","Required Field?","Custom Alignment","Question Number (surveys only)","Matrix Group Name","Matrix Ranking?","Field Annotation"
record_id,your_light_behaviour_leba,,text,"Record ID",,,,,,,,,,,,,
leba_f2_04,your_light_behaviour_leba,,radio,"I spend 30 minutes or less per day (in total) outside.","1, Never | 2, Rarely | 3, Sometimes | 4, Often | 5, Always",,,,,,,y,,,,,
leba_f2_05,your_light_behaviour_leba,,radio,"I spend between 30 minutes and 1 hour per day (in total) outside.","1, Never | 2, Rarely | 3, Sometimes | 4, Often | 5, Always",,,,,,,y,,,,,
leba_f2_06,your_light_behaviour_leba,,radio,"I spend between 1 and 3 hours per day (in total) outside.","1, Never | 2, Rarely | 3, Sometimes | 4, Often | 5, Always",,,,,,,y,,,,,
leba_f2_07,your_light_behaviour_leba,,radio,"I spend more than 3 hours per day (in total) outside.","1, Never | 2, Rarely | 3, Sometimes | 4, Often | 5, Always",,,,,,,y,,,,,
leba_f2_08,your_light_behaviour_leba,,radio,"I spend as much time outside as possible.","1, Never | 2, Rarely | 3, Sometimes | 4, Often | 5, Always",,,,,,,y,,,,,
leba_f2_09,your_light_behaviour_leba,,radio,"I go for a walk or exercise outside within 2 hours after waking up.","1, Never | 2, Rarely | 3, Sometimes | 4, Often | 5, Always",,,,,,,y,,,,,
leba_f3_10,your_light_behaviour_leba,,radio,"<div class=""rich-text-field-label""><p>I use my mobile phone within 1 hour before attempting to fall asleep.<br /><br /><span style=""font-weight: normal;"">Note: this does not include the time spent filling in the questionnaires.</span></p></div>","1, Never | 2, Rarely | 3, Sometimes | 4, Often | 5, Always",,,,,,,y,,,,,
leba_f3_11,your_light_behaviour_leba,,radio,"<div class=""rich-text-field-label""><p>I look at my mobile phone screen immediately after waking up.<br /><br /><span style=""font-weight: normal;"">Note: this does not include the time spent filling in the questionnaires.</span></p></div>","1, Never | 2, Rarely | 3, Sometimes | 4, Often | 5, Always",,,,,,,y,,,,,
leba_f3_12,your_light_behaviour_leba,,radio,"I check my phone when I wake up at night.","1, Never | 2, Rarely | 3, Sometimes | 4, Often | 5, Always",,,,,,,y,,,,,
leba_f3_13,your_light_behaviour_leba,,radio,"<div class=""rich-text-field-label""><p>I look at my smartwatch within 1 hour before attempting to fall asleep.<br /><br /><span style=""font-weight: normal;"">Note: please answer with regard to your personal smartwatch (if you own one), not the one actimeter given to you for the study</span></p></div>","1, Never | 2, Rarely | 3, Sometimes | 4, Often | 5, Always",,,,,,,y,,,,,
leba_f3_14,your_light_behaviour_leba,,radio,"<div class=""rich-text-field-label""><p>I look at my smartwatch when I wake up at night.<br /><br /><span style=""font-weight: normal;"">Note: please answer with regard to your personal smartwatch (if you own one), not the one actimeter given to you for the study</span></p></div>","1, Never | 2, Rarely | 3, Sometimes | 4, Often | 5, Always",,,,,,,y,,,,,
leba_f4_15,your_light_behaviour_leba,,radio,"I dim my mobile phone screen within 1 hour before attempting to fall asleep.","1, Never | 2, Rarely | 3, Sometimes | 4, Often | 5, Always",,,,,,,y,,,,,
leba_f4_16,your_light_behaviour_leba,,radio,"<div class=""rich-text-field-label""><p>I use a blue-ﬁlter app on my computer screen within 1 hour before attempting to fall asleep.</p></div>","1, Never | 2, Rarely | 3, Sometimes | 4, Often | 5, Always",,,,,,,y,,,,,
leba_f4_17,your_light_behaviour_leba,,radio,"<div class=""rich-text-field-label""><p>I use as little light as possible when I get up during the night.</p></div>","1, Never | 2, Rarely | 3, Sometimes | 4, Often | 5, Always",,,,,,,y,,,,,
leba_f4_18,your_light_behaviour_leba,,radio,"I dim my computer screen within 1 hour before attempting to fall asleep.","1, Never | 2, Rarely | 3, Sometimes | 4, Often | 5, Always",,,,,,,y,,,,,
leba_f5_19,your_light_behaviour_leba,,radio,"I use tunable lights to create a healthy light environment.","1, Never | 2, Rarely | 3, Sometimes | 4, Often | 5, Always",,,,,,,y,,,,,
leba_f5_20,your_light_behaviour_leba,,radio,"I use LEDs to create a healthy light environment.","1, Never | 2, Rarely | 3, Sometimes | 4, Often | 5, Always",,,,,,,y,,,,,
leba_f5_21,your_light_behaviour_leba,,radio,"I use a desk lamp when I do focused work.","1, Never | 2, Rarely | 3, Sometimes | 4, Often | 5, Always",,,,,,,y,,,,,
leba_f5_22,your_light_behaviour_leba,,radio,"I use an alarm with a dawn simulation light.","1, Never | 2, Rarely | 3, Sometimes | 4, Often | 5, Always",,,,,,,y,,,,,
leba_f5_23,your_light_behaviour_leba,,radio,"I turn on the lights immediately after waking up.","1, Never | 2, Rarely | 3, Sometimes | 4, Often | 5, Always",,,,,,,y,,,,,
sensitivity,your_light_sensitivity_vlsq8,,radio,"<div class=""rich-text-field-label""><p>How often did you have visual light sensitivity outdoors during daylight?</p></div>","1, Never | 2, Rarely | 3, Sometimes | 4, Often | 5, Always",,,,,,,y,,,,,
glare,your_light_sensitivity_vlsq8,,radio,"How often did you have a sense of glare in your eyes?","1, Never | 2, Rarely | 3, Sometimes | 4, Often | 5, Always",,,,,,,y,,,,,
flicker,your_light_sensitivity_vlsq8,,radio,"How often did you have visual light sensitivity from flickering lights or bright colors?","1, Never | 2, Rarely | 3, Sometimes | 4, Often | 5, Always",,,,,,,y,,,,,
sensitivity_severity,your_light_sensitivity_vlsq8,,radio,"Please rate the severity of the worst visual light sensitivity you experienced in the past week.","1, None | 2, Mild | 3, Moderate | 4, Significant | 5, Severe",,,,,,,y,,,,,
headache,your_light_sensitivity_vlsq8,,radio,"When you have sensitivity to light, do you also experience headache?","1, Never | 2, Rarely | 3, Sometimes | 4, Often | 5, Always",,,,,,,y,,,,,
blurry_vision,your_light_sensitivity_vlsq8,,radio,"When you have sensitivity to light, how often is your vision blurry?","1, Never | 2, Rarely | 3, Sometimes | 4, Often | 5, Always",,,,,,,y,,,,,
ability,your_light_sensitivity_vlsq8,,radio,"How often does sensitivity to light limit your ability to read, watch TV, or use the computer?","1, Never | 2, Rarely | 3, Sometimes | 4, Often | 5, Always",,,,,,,y,,,,,
glasses,your_light_sensitivity_vlsq8,,radio,"How often did you need to wear dark glasses on cloudy days or indoors?","1, Never | 2, Rarely | 3, Sometimes | 4, Often | 5, Always",,,,,,,y,,,,,
slypos_ase_001,your_sleep_environment_ase,,radio,"Has too much light","1, Strongly agree | 2, Agree | 3, Disagree | 4, Strongly disagree",,,,,,,y,,,,,
slypos_ase_002,your_sleep_environment_ase,,radio,"Is too dark","1, Strongly agree | 2, Agree | 3, Disagree | 4, Strongly disagree",,,,,,,y,,,,,
slypos_ase_003,your_sleep_environment_ase,,radio,"Is too noisy","1, Strongly agree | 2, Agree | 3, Disagree | 4, Strongly disagree",,,,,,,y,,,,,
slypos_ase_004,your_sleep_environment_ase,,radio,"Is too quiet","1, Strongly agree | 2, Agree | 3, Disagree | 4, Strongly disagree",,,,,,,y,,,,,
slypos_ase_005,your_sleep_environment_ase,,radio,"Is too warm","1, Strongly agree | 2, Agree | 3, Disagree | 4, Strongly disagree",,,,,,,y,,,,,
